scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;41;0.5;0.4967662951705505;5.0;1.0;0.5;5.0;50.0;False;True;15;1699;13074723
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;32;0.5;0.5018932154801721;5.0;1.0;0.5;5.0;50.0;False;True;12;28602;180676142
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;15;0.5;0.5002632783882784;5.0;1.0;0.5;5.0;50.0;False;True;31;52117;405944695
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;43;0.5;0.4970208399324253;5.0;1.0;0.5;5.0;50.0;False;True;13;9539;41046489
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;45;0.5;0.4975155279503105;5.0;1.0;0.5;5.0;50.0;False;True;17;5894;20156534
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;44;0.5;0.5014652014652015;5.0;1.0;0.5;5.0;50.0;False;True;17;9051;48159580
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;21;0.5;0.5019768371274828;5.0;1.0;0.5;5.0;50.0;False;True;13;52102;409589565
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;50;0.5;0.4952756166678068;5.0;1.0;0.5;5.0;100.0;False;True;29;2179;6333411
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;47;0.5;0.5034441112776944;5.0;1.0;0.5;5.0;50.0;False;True;9;10579;44670010
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;27;0.5;0.4975740977288965;5.0;1.0;0.5;5.0;50.0;False;True;18;46636;349399042
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;53;0.5;0.498939479638009;5.0;1.0;0.5;5.0;100.0;False;True;97;824;3231011
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;16;0.5;0.4994571960297767;5.0;1.0;0.5;5.0;50.0;False;True;15;71450;523942292
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;52;0.5;0.4971765882806346;5.0;1.0;0.5;5.0;100.0;False;True;41;12412;70993707
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;46;0.5;0.5011911006206836;5.0;1.0;0.5;5.0;50.0;False;True;12;30059;157230116
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;57;0.5;0.4973557692307692;5.0;1.0;0.5;5.0;100.0;False;True;9;1888;6078422
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;49;0.5;0.5036027568922306;5.0;1.0;0.5;5.0;50.0;False;True;41;26347;177703601
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;55;0.5;0.4996759847143479;5.0;1.0;0.5;5.0;100.0;False;True;36;17410;95731602
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;34;0.5;0.4992301407742584;5.0;1.0;0.5;5.0;50.0;False;True;12;55023;393226492
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;3;0.5;0.4954897815362932;5.0;1.0;0.5;5.0;50.0;False;True;14;78786;698508643
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;61;0.5;0.5048076923076923;5.0;1.0;0.5;5.0;100.0;False;True;34;9865;42793470
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;62;0.5;0.5001725030188028;5.0;1.0;0.5;5.0;100.0;False;True;19;8326;29524546
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;33;0.5;0.5019257703081232;5.0;1.0;0.5;5.0;50.0;False;True;53;73796;507093048
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;39;0.5;0.4978494623655913;5.0;1.0;0.5;5.0;50.0;False;True;32;56267;407782755
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;7;0.5;0.4955861289658676;5.0;1.0;0.5;5.0;50.0;False;True;28;94076;884154886
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;42;0.5;0.5004745254745254;5.0;1.0;0.5;5.0;50.0;False;True;27;118054;522162241
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;66;0.5;0.499606839936675;5.0;1.0;0.5;5.0;100.0;False;True;12;42803;234335175
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;64;0.5;0.5032696177062375;5.0;1.0;0.5;5.0;100.0;False;True;15;46265;283417526
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;70;0.5;0.4975395405627963;5.0;1.0;0.5;5.0;100.0;False;True;13;26326;153129235
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;71;0.5;0.5009613630303286;5.0;1.0;0.5;5.0;100.0;False;True;23;1370;3586331
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;67;0.5;0.4958868272057328;5.0;1.0;0.5;5.0;100.0;False;True;56;95450;336269758
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;69;0.5;0.4991502112191767;5.0;1.0;0.5;5.0;100.0;False;True;82;51915;258972770
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;74;0.5;0.5013359388359389;5.0;1.0;0.5;5.0;100.0;False;True;10;1886;10210362
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;2;0.5;0.4960393407761829;5.0;1.0;0.5;5.0;50.0;False;True;20;145459;1347899703
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;68;0.5;0.4988884988884988;5.0;1.0;0.5;5.0;100.0;False;True;20;56229;446178084
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;75;0.5;0.4953686214785418;5.0;1.0;0.5;5.0;100.0;False;True;23;16736;55899853
