use_idlesim;safe_oracles;unsafe_oracles;use_case;scheduler;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5443;0.75;0.7469155844155844;5.0;0.0;0.5;5.0;30.0;False;True;14;35493;531952955
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5400;0.75;0.7496031746031745;5.0;0.0;0.5;5.0;30.0;False;True;21;97672;3900887828
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5425;0.75;0.7543067226890756;5.0;0.0;0.5;5.0;30.0;False;True;14;46774;2054982545
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5447;0.75;0.7507215007215007;5.0;0.0;0.5;5.0;30.0;False;True;11;5109;69296073
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5403;0.75;0.7482323232323232;5.0;0.0;0.5;5.0;30.0;False;True;22;97467;4104804760
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5438;0.75;0.749355423987777;5.0;0.0;0.5;5.0;30.0;False;True;16;79234;1422443321
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5448;0.75;0.7544871794871795;5.0;0.0;0.5;5.0;30.0;False;True;26;30003;282159653
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5451;0.75;0.7526785714285714;5.0;0.0;0.5;5.0;30.0;False;True;7;1805;18110084
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5426;0.75;0.7507936507936508;5.0;1.0;0.5;5.0;30.0;False;True;25;160898;2740999995
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5449;0.75;0.7456659719590754;5.0;0.0;0.5;5.0;30.0;False;True;33;22911;582036037
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5352;0.75;0.7481787181275672;5.0;0.0;0.5;5.0;30.0;False;True;17;466743;11890392322
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5444;0.75;0.7505131362889983;5.0;1.0;0.5;5.0;30.0;False;True;24;64934;1785969763
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5455;0.75;0.7478354978354977;5.0;0.0;0.5;5.0;30.0;False;True;8;776;9658429
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5428;0.75;0.7541982976765584;5.0;0.0;0.5;5.0;30.0;False;True;21;84196;2940249751
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5456;0.75;0.7501554001554002;5.0;0.0;0.5;5.0;30.0;False;True;11;4411;47789513
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5408;0.75;0.7459360814623972;5.0;0.0;0.5;5.0;30.0;False;True;17;97474;4162447439
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5458;0.75;0.7537878787878788;5.0;0.0;0.5;5.0;30.0;False;True;10;4644;111684809
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5442;0.75;0.7462169650468884;5.0;0.0;0.5;5.0;30.0;False;True;23;62901;2344388560
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5452;0.75;0.7459470869687588;5.0;0.0;0.5;5.0;30.0;False;True;21;37121;769395243
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5457;0.75;0.7476304397357029;5.0;0.0;0.5;5.0;30.0;False;True;19;14581;278481663
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5464;0.75;0.7454545454545455;5.0;0.0;0.5;5.0;30.0;False;True;10;2244;41948272
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5461;0.75;0.747400109469075;5.0;0.0;0.5;5.0;30.0;False;True;31;9833;207399734
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5466;0.75;0.7520833333333333;5.0;0.0;0.5;5.0;30.0;False;True;21;2796;31115579
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5463;0.75;0.7537037037037038;5.0;0.0;0.5;5.0;30.0;False;True;14;10000;141647084
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5468;0.75;0.7547619047619047;5.0;0.0;0.5;5.0;30.0;False;True;12;7386;88529283
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5460;0.75;0.7539231601731602;5.0;1.0;0.5;5.0;30.0;False;True;21;36777;565274904
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5469;0.75;0.7463383838383838;5.0;0.0;0.5;5.0;30.0;False;True;10;676;6454992
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5435;0.75;0.7464285714285714;5.0;0.0;0.5;5.0;30.0;False;True;58;200170;3323380997
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5453;0.75;0.7544089682247577;5.0;0.0;0.5;5.0;30.0;False;True;352;76881;1107250753
