scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;101;0.8;0.7950000000000002;5.0;1.0;False;True;16;29363;155896869
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;97;0.7;0.7;5.0;0.0;False;True;92;1500830;14136131600
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;102;0.8;0.8;5.0;0.0;False;True;21;431876;3670628180
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;95;0.7;0.7;5.0;0.0;False;True;89;2154676;26409627250
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;104;0.8;0.8;5.0;0.0;False;False;23;431948;4050750466
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;99;0.7;0.6950000000000001;5.0;1.0;False;True;36;2159434;22771624267
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;109;0.8;0.8049999999999999;5.0;0.0;False;True;20;77614;396951237
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;110;0.8;0.8;5.0;0.0;False;True;27;197816;1413235275
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;74;0.6;0.6;5.0;1.0;False;True;58;5571296;67226807003
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;78;0.6;0.6000000000000001;5.0;1.0;False;True;34;5438818;64097521422
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;113;0.8;0.8049999999999999;5.0;0.0;False;True;84;63825;268159037
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;111;0.8;0.8;5.0;0.0;False;True;20;410562;3522221577
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;116;0.8;0.8049999999999999;5.0;0.0;False;True;23;386853;3088856195
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;59;0.5;0.5000000000000001;5.0;1.0;False;True;102;10106595;122762242275
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;118;0.8;0.7999999999999999;5.0;0.0;False;True;23;183954;1388299278
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;119;0.8;0.8;5.0;0.0;False;True;20;28622;101946851
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;62;0.6;0.6000000000000001;5.0;1.0;False;True;113;9291004;122727087490
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;121;0.9;0.9;5.0;0.0;False;False;21;374638;3663383026
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;124;0.9;0.8999999999999999;5.0;0.0;False;True;29;546599;5206267093
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;76;0.6;0.5950000000000001;5.0;1.0;False;True;105;7944552;102507443112
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;103;0.8;0.8049999999999999;5.0;0.0;False;True;110;4527237;55025104584
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;127;0.9;0.8999999999999999;5.0;0.0;False;False;20;286462;2320718699
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;128;0.9;0.9;5.0;0.0;False;True;40;152820;892869973
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;120;0.9;0.9;5.0;0.0;False;False;20;2518950;24129677610
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;112;0.8;0.8;5.0;0.0;False;True;46;3571673;40803334912
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;96;0.7;0.6950000000000001;5.0;1.0;False;True;34;6443849;78495393933
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;132;0.9;0.9;5.0;0.0;False;True;20;9822;35109595
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;106;0.8;0.8049999999999999;5.0;0.0;False;True;85;4061065;55096489945
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;135;0.9;0.9;5.0;0.0;False;False;26;432960;4007511646
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;130;0.9;0.9;5.0;0.0;False;False;20;2366695;21912301504
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;139;0.9;0.8999999999999999;5.0;0.0;False;True;38;313363;3268850860
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;108;0.8;0.8;5.0;0.0;False;True;41;6155810;77348723794
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;141;1.0;1.0;5.0;0.0;False;False;20;897918;9462432751
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;144;1.0;1.0;5.0;0.0;False;False;20;496539;4664694355
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;145;1.0;1.0;5.0;0.0;False;False;20;481375;4627166302
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;148;1.0;1.0;5.0;0.0;False;False;10;176471;1140444975
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;123;0.9;0.9000000000000001;5.0;0.0;False;True;59;5474697;74644007882
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;143;1.0;0.995;5.0;0.0;False;False;21;2201673;23907139182
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;134;0.9;0.8999999999999999;5.0;0.0;False;True;100;4081649;58099597023
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;154;1.0;1.0;5.0;0.0;False;False;10;84977;353007466
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;152;1.0;1.0;5.0;0.0;False;False;20;553086;5776202400
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;151;1.0;1.0;5.0;0.0;False;False;20;1161878;11424942620
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;153;1.0;1.0;5.0;0.0;False;False;21;784372;8669961558
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;159;1.0;1.0;5.0;0.0;False;False;11;200827;1398665695
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;147;1.0;0.995;5.0;0.0;False;False;21;2254138;23821921228
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;155;1.0;0.995;5.0;0.0;False;False;20;1514079;14388612707
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;142;1.0;1.0;5.0;0.0;False;False;20;4420791;42005820838
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;156;1.0;1.0;5.0;0.0;False;False;20;3422027;33218447453
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;131;0.9;0.8999999999999999;5.0;0.0;False;False;50;7770542;103080641023
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;150;1.0;1.0;5.0;0.0;False;False;20;9782225;112902856171
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;137;0.9;0.8999999999999999;5.0;0.0;False;False;100;16087487;223845609738
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;125;0.9;0.9000000000000001;5.0;0.0;False;True;80;18896548;274578697848
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;146;1.0;1.0;5.0;0.0;False;False;101;24122479;343758922231
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;126;0.9;0.905;5.0;0.0;True
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;149;1.0;1.0;5.0;0.0;True
